humedad,velocidad_viento_kmh,rumbo_viento_grados,visibilidad_km,presion_mbar,lluvia,descripcion,temperatura
0.93,3.22,100.0,6.12,1019.5,si,Normal,5.0
0.84,6.41,171.0,14.91,1016.39,si,Normal,13.27
0.75,11.37,69.0,15.18,1018.55,si,Normal,14.82
1.0,10.75,209.0,0.18,1033.6,si,Cold,0.09
0.55,12.2,149.0,15.83,1015.98,si,Warm,27.79
0.71,21.9,265.0,14.96,1015.53,si,Warm,20.4
0.62,11.04,308.0,11.03,1011.92,si,Warm,26.99
0.84,9.19,7.0,9.9,1028.63,si,Normal,7.59
0.67,22.46,50.0,11.27,0.0,si,Normal,13.99
0.93,6.63,82.0,3.17,1027.7,si,Normal,8.81
0.62,11.27,0.0,16.1,1018.0,si,Normal,16.67
0.69,23.65,296.0,9.98,1006.77,si,Normal,9.88
0.74,22.73,328.0,11.08,1008.38,si,Normal,18.72
0.93,4.7,329.0,6.02,1021.84,si,Normal,8.87
0.92,14.63,10.0,14.81,1002.88,si,Normal,9.91
0.96,10.95,331.0,0.68,1019.73,si,Normal,13.2
0.86,7.92,115.0,5.62,1027.04,no,Cold,-4.15
0.8,21.64,200.0,11.27,1003.0,si,Normal,11.18
0.93,0.53,258.0,13.56,1009.95,si,Normal,14.04
0.63,4.77,244.0,15.55,1009.69,si,Normal,6.46
0.73,9.53,117.0,10.05,1008.64,si,Warm,20.9
0.67,10.35,241.0,9.98,1012.86,si,Normal,10.98
0.59,2.16,118.0,9.98,1015.64,si,Normal,17.15
0.52,13.25,186.0,15.31,1013.8,si,Normal,15.41
0.71,24.49,303.0,14.17,1008.67,si,Normal,8.26
0.85,13.23,154.0,14.17,1011.91,si,Cold,3.83
0.82,14.47,170.0,8.13,1015.25,si,Cold,4.4
0.96,3.49,102.0,4.09,1016.58,si,Normal,12.48
0.72,13.35,250.0,9.98,1008.72,si,Normal,8.87
0.84,3.08,283.0,16.1,1018.55,si,Normal,10.49
0.7,6.65,295.0,15.83,1009.91,si,Warm,20.94
0.65,26.74,130.0,11.21,1008.64,si,Normal,4.93
0.35,14.49,230.0,9.98,1017.7,si,Warm,27.78
0.97,3.09,35.0,14.63,1006.87,si,Normal,16.09
0.73,7.81,168.0,11.27,1007.86,si,Normal,17.16
0.65,28.98,310.0,9.98,1011.7,si,Warm,18.89
0.93,4.86,218.0,9.98,1017.29,si,Normal,9.01
0.89,15.67,263.0,11.27,1013.01,si,Normal,12.92
0.93,11.27,310.0,9.98,1016.88,si,Normal,14.98
0.58,7.92,59.0,8.23,1031.16,si,Cold,2.61
0.86,0.4,83.0,6.3,1020.36,si,Normal,11.13
0.61,12.93,162.0,15.55,1011.08,si,Warm,24.38
0.89,14.22,329.0,14.91,1020.67,si,Cold,0.67
0.58,7.63,35.0,11.27,1002.71,si,Warm,23.79
0.79,10.71,159.0,7.82,1018.59,si,Normal,6.06
0.93,5.14,25.0,4.8,1015.85,si,Normal,12.11
0.96,8.0,230.0,9.05,1007.91,si,Cold,2.93
0.9,5.78,292.0,6.5,1025.87,si,Cold,1.08
0.58,25.65,258.0,11.45,1001.95,si,Normal,16.22
0.81,6.3,346.0,15.83,1015.38,si,Normal,17.83
0.92,3.61,72.0,14.06,1020.73,si,Normal,9.22
0.96,4.38,95.0,11.21,1001.05,si,Normal,17.8
0.71,37.03,300.0,11.27,1006.9,si,Normal,8.89
0.92,9.66,10.0,4.99,1007.6,no,Cold,-2.78
0.92,1.74,197.0,0.19,1027.91,no,Cold,-1.08
1.0,0.0,0.0,5.22,1008.5,si,Normal,17.11
0.92,6.55,243.0,15.83,1017.94,si,Normal,12.77
0.87,13.04,159.0,9.79,1000.09,si,Normal,12.69
0.58,3.03,257.0,16.1,1016.8,si,Normal,16.04
1.0,2.98,202.0,0.02,1033.41,no,Cold,-1.04
0.5,9.32,357.0,10.58,1017.14,si,Normal,12.29
0.92,9.4,132.0,6.3,1022.06,si,Normal,14.06
0.83,8.21,34.0,6.76,1020.07,si,Cold,1.3
0.59,9.08,20.0,10.4,1013.53,si,Normal,6.03
0.7,9.66,230.0,9.98,1019.3,si,Normal,5.0
0.75,6.1,129.0,15.55,1029.88,si,Normal,5.92
0.67,2.79,318.0,9.98,1022.48,si,Normal,13.41
0.75,15.55,221.0,10.26,1000.07,si,Normal,7.89
0.4,14.52,328.0,9.98,1020.33,si,Warm,29.88
0.88,9.32,162.0,10.37,1019.33,si,Cold,2.87
0.79,22.46,120.0,10.05,0.0,si,Normal,6.11
0.55,10.58,170.0,9.98,1010.03,si,Warm,30.9
0.69,6.12,302.0,14.96,1021.42,no,Cold,-2.65
0.57,11.99,353.0,9.98,1017.25,si,Warm,24.88
0.48,3.14,127.0,9.98,1020.77,si,Warm,30.12
0.83,4.49,241.0,4.7,1036.04,no,Cold,-1.22
0.69,15.39,41.0,11.27,1021.84,si,Cold,2.17
0.67,10.92,81.0,9.98,1018.05,si,Warm,20.18
0.83,16.74,160.0,11.45,1018.59,si,Normal,8.87
0.61,15.89,318.0,11.27,0.0,si,Warm,19.95
0.92,3.98,354.0,8.05,1027.41,no,Cold,-0.31
0.46,8.05,40.0,11.27,1017.4,si,Warm,21.11
1.0,9.58,253.0,1.45,997.84,si,Cold,0.07
0.84,5.12,40.0,9.98,1019.64,si,Normal,18.8
0.87,7.66,136.0,5.86,1018.58,si,Normal,10.94
0.91,5.96,341.0,6.3,1019.43,si,Cold,4.44
0.93,0.74,218.0,1.93,1015.87,si,Normal,5.03
0.58,7.53,17.0,11.21,1033.1,si,Warm,21.04
0.93,5.28,267.0,8.13,1004.22,si,Normal,17.22
0.81,6.13,350.0,16.1,1012.63,si,Warm,19.36
0.9,4.44,76.0,11.13,1021.62,si,Normal,18.82
0.85,13.59,29.0,11.21,1014.62,si,Warm,19.77
0.94,12.28,109.0,10.79,1006.97,si,Normal,5.25
0.46,12.7,330.0,16.1,1019.63,si,Warm,21.02
0.78,7.13,339.0,10.58,1008.28,si,Warm,21.16
0.86,12.17,288.0,9.98,1019.72,si,Normal,12.24
0.96,3.08,310.0,1.92,1022.25,si,Normal,8.24
0.76,6.47,132.0,16.1,1014.39,si,Normal,13.69
0.72,1.66,3.0,7.21,1014.68,si,Normal,12.7
0.74,25.76,320.0,16.1,1021.8,no,Cold,-3.33
0.46,4.46,63.0,10.05,1011.55,si,Warm,28.79
0.55,4.93,101.0,10.35,1017.12,si,Warm,21.58
0.7,20.24,229.0,10.05,1021.38,si,Cold,2.73
0.75,10.82,199.0,11.13,1013.79,si,Normal,5.07
0.84,6.44,20.0,15.83,1012.24,si,Normal,15.57
0.77,9.06,309.0,11.08,1013.45,si,Warm,21.47
0.37,12.96,170.0,9.98,0.0,si,Warm,30.05
0.82,8.81,242.0,7.16,1012.38,si,Warm,22.13
0.33,4.86,182.0,16.1,1017.7,si,Warm,27.82
0.84,6.79,318.0,15.15,1020.77,no,Cold,-7.5
0.73,1.56,225.0,9.98,1019.77,si,Normal,12.22
0.81,10.43,261.0,14.96,1018.38,si,Normal,11.76
0.74,7.13,64.0,9.27,1013.67,si,Warm,22.32
0.72,3.4,119.0,15.18,1018.7,si,Normal,12.45
0.86,14.2,298.0,9.71,1011.9,si,Normal,12.24
0.58,14.49,330.0,11.27,1014.5,si,Normal,7.78
0.93,13.51,118.0,8.08,1019.24,si,Cold,4.31
0.93,11.37,293.0,3.98,1013.24,si,Cold,1.98
0.73,3.22,180.0,6.01,1027.91,si,Normal,7.27
0.75,3.51,136.0,14.17,1020.19,si,Warm,19.8
0.81,21.28,140.0,6.21,1003.63,si,Normal,6.32
0.71,4.93,139.0,9.98,1012.93,si,Normal,17.6
0.4,16.42,163.0,10.35,1021.49,si,Warm,26.92
0.26,7.82,272.0,9.98,1009.23,si,Warm,32.04
0.96,0.0,0.0,0.02,1022.21,no,Cold,-2.24
0.93,3.22,160.0,4.51,1012.5,si,Normal,13.89
0.52,14.49,10.0,9.98,1022.0,si,Warm,18.89
0.93,10.96,13.0,7.13,1016.26,si,Normal,15.88
0.84,13.96,190.0,15.15,1002.1,si,Normal,11.13
0.87,3.22,200.0,3.06,1016.9,no,Cold,-11.11
0.96,10.72,20.0,4.07,1028.93,no,Cold,-3.31
0.49,14.6,140.0,9.98,1025.27,si,Normal,11.05
0.9,3.24,253.0,11.03,1008.62,si,Normal,17.78
0.68,10.32,306.0,15.31,1022.88,si,Normal,15.39
0.6,6.96,293.0,11.7,1008.04,si,Warm,25.08
0.48,17.71,10.0,9.98,1010.2,si,Warm,18.89
0.85,6.1,109.0,14.91,1024.59,si,Cold,1.73
0.7,11.04,49.0,9.98,1024.16,si,Normal,6.08
0.87,7.81,198.0,7.73,1013.57,si,Normal,7.01
0.92,10.55,290.0,3.46,1020.03,no,Cold,-4.4
0.7,11.27,330.0,16.1,1020.9,si,Warm,18.89
0.82,24.09,330.0,9.98,1013.01,si,Normal,8.82
0.39,7.12,258.0,10.05,1019.17,si,Warm,27.24
0.48,12.82,300.0,10.26,1014.33,si,Warm,22.68
0.64,5.81,186.0,16.1,1012.87,si,Normal,16.17
0.67,23.52,310.0,9.98,1018.88,si,Normal,17.08
0.58,17.1,128.0,15.83,1014.48,si,Cold,3.31
0.93,6.09,125.0,8.13,1019.81,si,Normal,16.13
0.59,17.4,300.0,16.1,1012.69,si,Normal,13.68
0.82,14.04,150.0,14.91,1010.21,si,Cold,0.12
0.81,15.7,320.0,16.1,1018.39,no,Cold,-6.23
0.89,9.72,61.0,2.01,1011.88,no,Cold,-1.18
0.96,0.0,0.0,0.16,1021.68,si,Cold,2.24
0.68,2.95,161.0,9.98,1020.94,si,Warm,24.99
0.8,15.63,275.0,14.96,1024.72,si,Cold,2.83
1.0,3.33,327.0,3.65,1028.87,si,Normal,5.39
0.3,11.35,318.0,10.37,1020.92,si,Normal,17.76
0.26,9.29,225.0,9.98,1017.4,si,Warm,30.04
0.96,9.74,286.0,6.36,1013.44,si,Normal,6.13
0.87,0.0,0.0,16.05,1017.05,si,Normal,15.37
0.93,18.69,152.0,9.85,1010.01,si,Warm,20.56
0.72,0.0,0.0,15.83,1022.7,si,Normal,15.63
0.8,6.55,293.0,15.83,1010.13,si,Normal,16.09
0.73,8.26,183.0,12.85,1018.42,no,Cold,-0.88
0.85,12.4,131.0,10.26,1016.55,si,Cold,2.22
0.77,12.17,222.0,14.96,1008.06,si,Normal,8.29
0.61,2.62,151.0,15.31,1010.98,si,Warm,24.1
0.82,11.08,309.0,8.13,1026.28,si,Cold,3.31
0.64,13.7,156.0,10.35,1016.6,si,Normal,12.62
0.71,4.86,112.0,9.98,1023.7,si,Normal,10.0
0.59,4.83,10.0,9.98,1016.0,si,Normal,13.89
0.81,9.47,197.0,9.98,1020.42,si,Normal,15.29
0.93,2.75,166.0,1.98,1031.93,no,Cold,-1.06
0.96,3.41,289.0,15.31,1013.83,si,Normal,12.27
0.99,11.03,168.0,4.19,1019.62,si,Normal,7.25
0.3,10.84,212.0,9.98,1009.57,si,Warm,32.24
0.71,7.95,79.0,9.98,1016.0,si,Normal,17.22
1.0,5.88,238.0,15.65,1011.59,si,Normal,16.67
0.93,14.49,190.0,8.05,1010.5,si,Normal,5.0
0.86,13.83,41.0,5.14,1024.9,no,Cold,-3.36
0.83,10.58,150.0,8.13,1022.35,si,Normal,7.82
0.97,2.67,84.0,3.59,1032.23,si,Cold,1.94
0.96,17.71,290.0,3.06,989.2,si,Cold,3.33
0.86,8.53,340.0,11.27,1017.41,si,Warm,21.29
0.93,3.06,78.0,4.75,1021.76,si,Normal,10.79
0.58,6.17,149.0,15.83,1011.44,si,Warm,20.88
0.86,6.44,240.0,15.13,1020.3,si,Normal,11.67
0.68,19.37,149.0,11.27,1021.68,si,Normal,14.86
0.96,2.77,287.0,7.82,1007.66,si,Normal,15.56
0.73,16.1,130.0,9.98,1009.0,si,Warm,22.22
0.93,0.0,0.0,3.98,1024.65,si,Normal,7.16
0.62,24.15,320.0,11.27,1019.0,si,Normal,16.11
0.66,16.86,350.0,11.4,1017.68,si,Warm,24.09
0.46,14.12,349.0,10.35,1018.55,si,Warm,20.9
0.44,13.75,151.0,9.98,1024.74,si,Warm,20.0
0.39,17.05,153.0,11.4,1005.5,si,Normal,12.72
0.96,3.16,28.0,3.11,1016.98,si,Normal,5.39
0.49,6.05,60.0,15.83,1021.33,si,Warm,22.08
0.89,7.94,14.0,3.11,1020.15,si,Cold,2.71
0.92,3.2,171.0,3.96,1004.39,no,Cold,-5.12
0.57,21.65,11.0,11.21,1026.43,si,Normal,8.89
0.93,3.03,178.0,5.97,1017.52,si,Normal,13.18
0.72,6.44,350.0,16.1,1031.0,no,Cold,-0.56
0.73,8.76,310.0,11.4,1018.42,si,Warm,20.61
0.82,19.88,141.0,9.98,1008.28,si,Cold,0.03
0.24,3.61,299.0,9.98,1008.09,si,Warm,32.24
0.73,13.36,340.0,9.98,1015.37,si,Warm,22.11
0.81,10.06,232.0,15.31,1007.5,si,Normal,13.72
0.93,34.9,330.0,5.62,1003.09,si,Normal,9.88
0.75,11.27,300.0,16.1,1013.1,si,Normal,16.67
0.87,21.19,128.0,7.81,996.17,si,Normal,9.79
0.42,10.32,80.0,11.27,1017.37,si,Warm,26.96
0.57,14.07,212.0,11.21,1014.88,si,Normal,7.87
0.85,16.87,0.0,15.83,997.75,si,Normal,8.15
0.39,15.23,152.0,11.4,1017.06,si,Normal,17.98
0.96,6.44,310.0,6.12,1009.4,no,Cold,-1.67
0.62,33.62,139.0,11.13,987.08,si,Normal,12.04
0.58,4.23,265.0,10.37,1017.91,si,Normal,16.97
0.78,4.54,182.0,9.98,1015.74,si,Normal,15.03
0.82,23.63,309.0,9.98,1017.72,si,Normal,4.98
0.78,9.39,310.0,3.56,1021.57,no,Cold,-3.93
0.62,8.74,162.0,11.45,1010.87,si,Warm,23.87
0.84,8.05,330.0,11.27,1015.4,si,Warm,20.0
0.78,23.07,129.0,11.27,1005.74,si,Warm,20.02
0.64,17.71,130.0,9.98,1018.4,si,Warm,22.22
0.84,3.22,220.0,15.13,1040.53,no,Cold,-6.21
0.93,5.12,31.0,9.9,1016.42,si,Warm,21.07
1.0,4.52,181.0,2.03,1018.57,no,Cold,-2.11
0.75,4.6,110.0,9.98,1016.82,si,Warm,23.64
0.74,7.55,187.0,9.98,1011.69,si,Normal,14.81
0.92,1.85,179.0,6.02,1026.92,no,Cold,-1.09
0.29,13.33,263.0,10.35,1016.86,si,Warm,26.93
0.87,14.76,12.0,11.27,1024.81,si,Normal,13.19
0.48,2.64,300.0,16.1,1020.41,si,Warm,21.08
0.6,2.9,5.0,10.26,1018.14,si,Warm,22.53
0.86,8.13,272.0,6.2,1007.47,si,Normal,10.03
0.61,12.64,151.0,9.98,1021.72,si,Normal,12.29
0.79,13.94,286.0,14.96,1015.77,si,Cold,3.07
0.96,3.22,280.0,12.08,1008.2,si,Normal,12.22
0.53,7.12,278.0,10.58,1014.03,si,Warm,20.32
0.48,8.68,97.0,10.35,1017.91,si,Warm,22.6
0.9,4.51,157.0,5.92,1013.8,si,Normal,8.59
0.93,7.97,320.0,15.6,1011.32,si,Normal,18.76
0.97,16.24,19.0,3.82,1014.59,si,Cold,0.05
0.84,4.83,50.0,9.98,1023.5,no,Cold,-5.0
0.96,9.66,213.0,4.91,1020.05,no,Cold,-2.15
1.0,7.68,140.0,4.83,0.0,si,Normal,10.05
0.41,14.28,319.0,15.83,1019.38,si,Warm,21.18
0.96,0.0,0.0,0.0,1019.2,si,Normal,7.78
0.95,10.38,104.0,2.25,1014.31,no,Cold,-2.09
0.9,6.84,323.0,14.33,1015.81,si,Warm,18.96
0.93,8.03,353.0,9.98,1004.58,si,Normal,11.16
0.62,8.61,25.0,11.45,1022.99,si,Cold,0.26
0.59,3.06,328.0,9.98,1013.67,si,Warm,22.33
0.86,4.67,24.0,9.98,1021.88,si,Normal,10.09
0.78,20.51,300.0,8.13,1019.68,si,Normal,7.24
0.49,5.33,133.0,9.98,1013.31,si,Warm,29.84
0.67,3.38,36.0,15.18,1016.14,si,Warm,21.31
0.73,21.38,171.0,9.9,1020.08,si,Normal,9.94
0.62,20.93,70.0,9.98,1024.9,si,Cold,3.89
0.75,30.11,291.0,8.05,1003.06,si,Cold,1.16
0.38,15.99,338.0,16.1,1012.12,si,Warm,31.16
0.81,13.75,172.0,9.03,1019.56,si,Normal,5.75
0.83,6.3,329.0,14.96,1025.12,no,Cold,-2.98
0.78,1.69,310.0,10.26,1013.54,si,Normal,12.67
0.64,4.43,27.0,11.21,1009.88,si,Warm,22.11
0.82,10.01,46.0,14.96,996.39,si,Normal,8.16
0.36,11.64,243.0,9.98,1018.4,si,Warm,18.88
0.9,2.95,175.0,9.98,1014.26,si,Normal,16.04
0.93,3.91,42.0,4.43,1021.25,si,Normal,10.49
0.89,11.03,190.0,9.98,1016.03,si,Cold,4.1
0.56,8.08,128.0,9.98,1016.38,si,Warm,27.67
0.5,13.68,13.0,10.35,1017.37,si,Normal,7.16
0.87,7.04,322.0,3.49,1023.62,si,Normal,7.17
0.37,22.54,30.0,11.27,1017.7,si,Normal,17.78
0.7,4.8,266.0,10.26,1023.59,si,Cold,3.89
0.96,3.22,320.0,7.91,1015.87,si,Normal,4.97
0.92,9.68,197.0,10.19,1027.93,si,Normal,5.09
0.86,10.51,262.0,4.83,1010.28,si,Normal,5.02
0.54,13.07,7.0,9.98,1017.16,si,Normal,11.26
0.58,11.38,310.0,9.98,1023.74,si,Normal,15.07
0.33,26.66,320.0,9.98,1016.0,si,Warm,24.88
0.35,4.7,40.0,9.98,1023.83,si,Normal,17.2
0.25,15.65,8.0,9.98,1013.93,si,Warm,29.91
0.68,15.99,71.0,9.98,1025.29,no,Cold,-2.85
0.88,3.09,263.0,10.98,1019.22,si,Cold,2.87
0.84,3.25,356.0,14.88,1041.73,no,Cold,-6.01
0.9,10.4,178.0,9.71,1026.58,si,Normal,13.96
1.0,10.98,141.0,4.99,1015.34,si,Normal,5.07
0.89,7.78,140.0,3.98,1026.3,si,Cold,2.89
1.0,7.89,2.0,0.16,1033.92,si,Normal,5.02
0.36,6.07,47.0,15.15,1029.69,si,Normal,6.56
0.7,1.61,160.0,9.98,1024.9,si,Normal,5.0
0.78,14.1,298.0,14.09,1007.25,no,Cold,-3.89
0.87,11.06,310.0,9.98,1013.95,si,Warm,20.05
0.94,9.64,169.0,5.64,1020.03,no,Cold,-1.27
0.87,3.12,352.0,15.18,1012.14,si,Normal,18.82
0.64,12.08,17.0,11.06,1020.06,si,Normal,5.37
0.83,25.26,301.0,11.21,1011.47,si,Normal,14.98
0.56,10.22,347.0,9.98,1013.36,si,Warm,22.29
0.55,3.08,349.0,9.98,1010.76,si,Normal,13.98
0.71,24.78,189.0,15.83,1005.92,si,Cold,3.77
0.92,3.9,251.0,13.81,1026.75,no,Cold,-2.2
0.38,12.49,1.0,9.98,1015.08,si,Warm,27.71
0.87,9.52,110.0,14.68,1003.61,si,Normal,7.2
0.99,17.11,161.0,0.89,1015.62,no,Cold,-2.15
0.35,9.23,150.0,9.98,1015.15,si,Warm,27.8
0.32,3.51,134.0,16.1,1018.32,si,Warm,31.09
0.75,22.86,300.0,11.45,1009.2,si,Normal,11.47
0.85,21.85,29.0,3.56,1022.87,si,Cold,1.11
0.95,2.0,225.0,3.11,1025.37,si,Cold,0.65
0.7,2.9,199.0,14.96,1020.18,si,Normal,15.13
0.44,16.15,290.0,9.98,1016.94,si,Normal,16.14
0.9,11.13,309.0,9.98,1017.85,si,Normal,12.27
0.89,11.21,319.0,4.94,1012.2,si,Cold,1.64
0.54,12.17,78.0,11.21,1024.09,si,Normal,6.13
0.84,20.22,239.0,10.05,997.31,si,Normal,16.61
0.78,8.18,346.0,9.98,1014.28,si,Warm,19.96
0.62,14.2,286.0,11.45,1019.79,si,Normal,7.74
0.45,3.51,37.0,10.4,1009.54,si,Warm,30.27
0.8,6.52,130.0,9.8,1027.78,si,Normal,6.64
0.93,16.82,140.0,0.35,1007.32,si,Normal,4.87
0.44,4.64,45.0,9.98,1027.46,si,Warm,19.0
0.74,13.62,176.0,11.99,1019.19,si,Normal,10.01
0.53,16.13,295.0,10.35,1009.45,si,Warm,29.97
0.88,9.92,339.0,16.1,1017.67,si,Cold,3.92
0.46,4.57,111.0,10.26,1013.61,si,Warm,27.92
0.84,9.02,160.0,8.05,1007.67,si,Normal,13.71
0.83,25.76,150.0,11.27,1005.6,si,Normal,8.89
0.67,14.72,191.0,9.19,1018.11,si,Normal,7.72
0.86,9.71,131.0,4.8,1012.36,no,Cold,-0.18
0.99,3.09,162.0,1.71,1009.33,no,Cold,-0.31
0.58,17.53,329.0,15.83,1019.31,si,Normal,8.84
0.77,7.87,202.0,11.27,1013.43,si,Warm,20.19
1.0,3.22,300.0,0.27,1020.03,no,Cold,-0.02
0.42,11.46,320.0,10.37,1020.26,si,Warm,22.31
0.88,3.33,346.0,15.15,1017.43,si,Normal,6.41
0.77,7.73,342.0,8.36,1004.69,si,Cold,2.16
0.84,3.22,180.0,9.98,0.0,si,Warm,20.05
0.59,20.04,21.0,15.18,1025.43,si,Normal,5.03
0.77,4.4,232.0,10.38,1015.21,si,Warm,19.94
0.89,3.22,160.0,16.1,1019.8,si,Normal,10.56
0.93,9.37,321.0,11.27,1019.59,si,Normal,9.98
0.49,12.72,201.0,11.27,1001.94,si,Warm,19.82
0.77,3.38,293.0,15.83,1010.65,si,Normal,10.09
0.79,12.65,159.0,6.94,1016.03,si,Normal,6.18
0.66,6.49,181.0,15.18,1012.65,si,Warm,25.19
0.54,26.52,342.0,10.58,1012.14,si,Warm,19.87
0.43,7.04,43.0,9.98,1025.03,si,Normal,17.89
0.74,5.52,12.0,14.96,1010.76,si,Normal,17.79
0.93,6.26,49.0,6.34,1037.96,no,Cold,-3.23
0.87,11.01,319.0,6.02,999.23,si,Normal,4.81
0.85,7.95,168.0,9.71,1024.7,si,Cold,1.11
0.29,9.79,321.0,10.35,1012.42,si,Warm,25.8
0.39,13.67,51.0,10.58,1009.95,si,Warm,28.42
0.86,7.97,160.0,8.05,1003.18,si,Normal,7.09
0.83,12.27,139.0,9.98,1021.79,si,Normal,9.84
0.78,10.9,352.0,11.21,1017.3,si,Warm,25.0
0.97,0.0,0.0,15.87,1016.11,si,Warm,18.82
0.59,17.02,268.0,5.54,1011.39,si,Normal,16.55
0.88,25.95,292.0,11.21,1009.41,si,Normal,8.98
0.38,17.71,70.0,9.98,1024.7,si,Normal,7.22
0.36,7.99,353.0,15.55,1021.36,si,Warm,19.92
0.67,10.09,78.0,9.98,1011.45,si,Warm,23.91
0.38,24.02,254.0,15.55,1008.57,si,Warm,22.72
0.73,10.82,169.0,11.04,1009.08,si,Warm,22.83
0.85,10.38,163.0,8.21,1019.76,si,Cold,1.11
0.96,6.15,324.0,4.99,1014.58,si,Normal,10.67
0.8,6.17,130.0,9.9,1029.09,no,Cold,-9.51
0.85,21.36,311.0,9.98,1022.23,si,Cold,2.33
0.75,11.16,310.0,11.4,1021.74,si,Cold,4.13
0.85,1.93,82.0,9.79,1028.61,si,Cold,0.47
0.93,8.19,213.0,3.36,1021.6,si,Normal,5.1
0.8,3.62,192.0,15.83,1012.75,si,Normal,16.76
0.39,12.88,230.0,9.98,1014.6,si,Warm,25.0
0.8,13.99,341.0,16.1,1018.12,si,Normal,11.05
0.93,28.59,117.0,4.69,995.08,si,Normal,5.72
0.6,3.03,350.0,11.27,0.0,si,Warm,22.12
0.96,7.18,62.0,8.15,1004.9,si,Cold,3.12
0.66,4.23,323.0,11.4,1014.31,si,Warm,25.05
0.73,23.14,169.0,9.76,1019.37,si,Normal,13.84
0.64,9.56,139.0,9.98,1020.16,si,Cold,2.29
0.96,16.92,10.0,6.2,1005.5,si,Normal,12.11
0.87,16.81,129.0,11.8,1003.49,si,Normal,7.2
0.96,3.75,213.0,0.48,1032.79,si,Cold,1.62
0.83,6.05,18.0,14.68,1027.44,si,Cold,3.73
0.85,9.08,65.0,14.17,1013.61,si,Normal,17.76
0.93,3.4,317.0,4.6,1029.98,si,Cold,1.9
0.73,12.57,36.0,11.04,1011.57,si,Warm,22.43
0.38,11.16,301.0,10.26,1021.34,si,Warm,20.88
0.87,7.99,299.0,3.06,1037.41,si,Cold,3.09
0.89,7.7,72.0,5.96,1026.54,si,Normal,7.44
0.41,22.48,207.0,15.55,1011.77,si,Warm,30.23
0.77,22.22,299.0,11.27,1021.73,si,Normal,9.97
0.38,7.58,136.0,10.37,1017.51,si,Warm,23.14
0.65,35.42,310.0,11.27,1006.9,si,Normal,7.22
0.49,13.23,288.0,9.98,1013.6,si,Normal,16.92
0.75,13.62,213.0,9.98,1013.25,si,Cold,0.04
0.86,16.33,30.0,6.34,0.0,si,Normal,9.95
0.76,11.27,300.0,11.27,1021.4,si,Normal,5.0
0.39,21.11,220.0,10.35,1008.51,si,Warm,27.11
0.86,10.92,340.0,5.83,1017.8,si,Normal,9.85
0.9,3.11,167.0,15.83,1010.27,si,Normal,16.71
0.73,0.0,0.0,16.1,1018.22,si,Warm,22.73
0.93,6.38,342.0,6.2,1017.03,si,Warm,19.33
0.9,6.3,337.0,15.18,1020.06,si,Normal,18.75
0.57,2.06,152.0,9.42,1009.12,si,Normal,15.94
0.92,5.84,186.0,0.61,1008.68,si,Cold,4.52
0.87,3.24,254.0,15.83,1021.27,si,Normal,18.36
0.49,15.92,240.0,11.21,1011.75,si,Normal,17.78
0.7,3.46,347.0,9.98,1016.07,si,Cold,2.76
0.46,2.82,33.0,9.98,1015.99,si,Warm,28.87
0.99,15.05,279.0,11.27,1007.83,si,Normal,10.05
0.93,14.49,160.0,0.32,1018.0,si,Normal,5.0
0.61,3.83,353.0,8.65,1037.63,no,Cold,-6.15
0.89,7.97,97.0,9.43,1002.18,no,Cold,-6.14
0.24,11.27,290.0,9.98,1020.0,si,Warm,27.22
0.84,19.72,332.0,7.08,1014.05,no,Cold,-2.16
0.48,14.28,159.0,15.83,1017.17,si,Normal,14.22
0.92,10.51,155.0,9.68,1013.74,si,Cold,3.74
0.7,11.04,320.0,15.83,1016.82,si,Normal,13.73
0.83,10.74,151.0,8.32,1019.99,si,Normal,6.31
0.83,13.86,128.0,7.87,1013.37,si,Cold,1.64
0.3,7.89,58.0,16.1,1021.06,si,Warm,21.06
0.59,6.28,120.0,16.05,1012.49,si,Normal,13.15
0.81,9.26,90.0,7.04,1036.74,no,Cold,-6.14
0.45,14.39,302.0,9.98,1014.49,si,Warm,19.95
0.99,4.81,34.0,7.55,1019.11,si,Normal,12.61
0.86,1.85,58.0,9.98,1015.52,si,Warm,20.21
0.56,13.77,150.0,9.98,1017.58,si,Normal,14.84
0.49,9.68,182.0,11.21,1012.23,si,Warm,22.24
0.99,10.61,162.0,14.52,1009.53,si,Normal,12.93
0.69,19.66,162.0,9.8,1015.29,si,Cold,1.18
0.88,13.81,180.0,14.91,1009.48,si,Normal,6.21
0.93,5.99,179.0,7.7,1015.34,si,Normal,11.97
0.88,14.99,21.0,11.27,1008.4,si,Normal,8.99
0.84,6.25,323.0,16.1,1018.07,si,Normal,18.31
0.4,28.08,319.0,10.05,1015.46,si,Warm,20.01
0.81,5.67,13.0,15.55,1013.69,si,Warm,19.36
0.82,13.62,302.0,10.55,1008.63,no,Cold,-0.06
0.95,5.92,345.0,13.94,1029.82,si,Normal,6.46
0.43,20.09,292.0,11.21,1022.12,si,Warm,21.02
0.36,20.69,311.0,16.1,1013.86,si,Normal,15.02
0.99,6.55,178.0,0.93,1024.02,si,Normal,6.78
0.61,10.75,245.0,15.55,1012.06,si,Warm,20.74
0.28,8.9,342.0,15.55,1017.33,si,Warm,28.71
0.84,3.22,350.0,14.91,1026.89,si,Cold,3.58
0.35,9.5,174.0,15.55,1012.42,si,Warm,25.08
